pwsid,name,state,must_replace,unknown,pop,lead90,exposure_per_line,cost_total,priority_rank
NH2521010,WILTON WATER WORKS,NH,1.0,181.0,1790,0.063,43.2,40900.0,1
IL0970550,HIGHWOOD,IL,271.0,9.0,5335,0.076,37.85019055995309,1275500.0,2
NH2221010,NORTH STRATFORD WATER DEPT,NH,7.0,23.0,300,0.048,37.2,37500.0,3
PA7500019,DUNCANNON MUNI WATER,PA,41.0,618.0,2000,0.301,36.41881638846738,316300.0,4
WY5600181,JADE MHC,WY,72.0,0.0,200,0.15,33.33333333333333,338400.0,5
PA6420023,SMETHPORT BOROUGH,PA,5.0,818.0,2400,1.0,32.951945080091534,187100.0,6
IL0311830,MAYWOOD,IL,5058.0,0.0,24090,0.083,32.48546144121366,23772600.0,7
NH1101040,WOODSVILLE WATER AND LIGHT,NH,2.0,135.0,2075,0.036,32.400000000000006,36400.0,8
NH0991010,GREENVILLE WATER DEPT,NH,2.0,361.0,1100,0.11,31.313131313131315,81600.0,9
NH1141010,HILLSBOROUGH WATER WORKS,NH,22.0,301.0,2000,0.033,31.200000000000003,163600.0,10
PA6240006,HIGHLAND TWP MUNICIPAL AUTH,PA,2.0,108.0,286,2.8,31.200000000000003,31000.0,11
MO4069075,BAPTIST HOME,MO,2.0,0.0,110,0.02934,29.736000000000004,9400.0,12
NH2191020,W STEWARTSTOWN WATER PCT,NH,1.0,16.0,428,0.028,29.200000000000003,7900.0,13
NH1921020,MERIDEN VILLAGE WATER DIST,NH,4.0,74.0,750,0.028,29.200000000000003,33600.0,14
NH0101010,ASHLAND WATER DEPT,NH,3.0,279.0,1525,0.031,27.39952718676123,69900.0,15
PA4310022,GRIER SCHOOL,PA,6.0,6.0,450,0.0222,26.880000000000003,29400.0,16
WA5391450,VERA WATER & POWER,WA,31.0,13.0,24692,0.0208,26.32,148300.0,17
OH5703512,DAYTON PUBLIC WATER SYSTEM,OH,9920.0,4.0,141407,0.47,26.216419985786235,46624800.0,18
TX1010908,RICE UNIVERSITY,TX,10.0,0.0,8415,0.0201,26.04,47000.0,19
WA5363000,NORTH BEACH WATER,WA,10.0,0.0,8093,0.02,26.000000000000004,47000.0,20
IN5246015,LACROSSE WATER DEPARTMENT,IN,15.0,15.0,540,1.4,25.92,73500.0,21
IL0312760,ROSEMONT,IL,12.0,731.0,3952,0.027,25.531090174966355,202600.0,22
TX0480015,MILLERSVIEW DOOLE WSC,TX,1.0,0.0,3987,0.0173,24.92,4700.0,23
NH1661010,NEW CASTLE WATER WORKS,NH,5.0,105.0,910,0.017,24.800000000000004,44500.0,24
NH0201010,BELMONT WATER DEPT,NH,1.0,569.0,1612,0.085,24.509941520467837,118500.0,25
RI1647516,ELEANOR SLATER HOSPITAL ZAMBARANO UNIT,RI,20.0,0.0,540,0.016,24.4,94000.0,26
NH0351010,CANAAN WATER DEPT,NH,1.0,21.0,684,0.016,24.4,8900.0,27
PA6420018,AQUA PA MT JEWETT,PA,15.0,82.0,972,1.0,24.199170124481327,86900.0,28
MN1070001,Amboy,MN,6.0,9.0,535,0.186,24.135338345864664,30000.0,29
TX0270088,PATRIOT RV PARK BURNET,TX,1.0,0.0,90,0.0153,24.119999999999997,4700.0,30
NH1121010,COGSWELL SPRINGS WATER WORKS,NH,1.0,570.0,3000,0.019,22.416812609457093,118700.0,31
IL0894380,ELGIN,IL,9249.0,1507.0,114797,0.053,21.73744505308717,43771700.0,32
PA7220005,GRATZ BORO WATER REVENUE FUND,PA,37.0,0.0,738,0.0679,20.64936802973978,173900.0,33
KS2020504,WILSON CO RWD 4,KS,4.0,54.0,293,0.0154,20.341609195402302,29600.0,34
PA7360007,CHRISTIANA MUNI WATER AUTH,PA,90.0,12.0,1100,0.07,19.704049844236764,425400.0,35
NH1691010,NEW HAMPTON VILLAGE PCT,NH,1.0,138.0,600,0.023,19.568345323741006,32300.0,36
NN0436014,Kinlichee Staff Housing BIA,AZ,20.0,4.0,80,0.042,19.333333333333336,94800.0,37
NH1781010,GROVETON WATER SYS,NH,7.0,687.0,2650,0.03,19.092219020172912,170300.0,38
IL0971150,MUNDELEIN,IL,98.0,32.0,31500,0.054,19.07164480322906,467000.0,39
NY2800136,AMSTERDAM (C),NY,242.0,4431.0,20700,0.0313,18.76563892354304,2023600.0,40
PA7380023,MT GRETNA CAMPMEETING ASSN,PA,3.0,231.0,375,0.1995,18.51851851851852,60300.0,41
NH2011010,ROLLINSFORD WATER SEWER DIST,NH,23.0,516.0,1688,0.043,18.37278911564626,211300.0,42
AL0001374,CAMDEN WATER & SEWER DEPARTMENT,AL,15.0,0.0,4170,0.038,17.762894534257118,70500.0,43
PA4560045,CENTRAL CITY WATER AUTH,PA,1.0,720.0,1984,0.08,17.551309271054496,148700.0,44
NH0841010,FRANCONIA VILLAGE WATER,NH,13.0,119.0,535,0.018,17.022727272727273,84900.0,45
IL1370400,SOUTH JACKSONVILLE,IL,674.0,0.0,3508,0.017,17.01846635367762,3167800.0,46
PA7500018,BLAIN WATER CO,PA,90.0,0.0,321,0.0468,16.93551724137931,423000.0,47
IL0894070,AURORA,IL,16937.0,93.0,183000,0.024,16.816492868272803,79622500.0,48
NY2102307,ILION (V) WATER WORKS,NY,221.0,1852.0,8053,0.036,16.478287230011368,1409100.0,49
PA4070059,WESTWOOD PARK WATER CO,PA,2.0,6.0,95,0.0209,16.0525641025641,10600.0,50
NH2351010,TILTON NORTHFIELD WATER DIST,NH,3.0,858.0,2500,0.036,15.679442508710803,185700.0,51
PA6610859,KENNERDELL NORTH WATER SYSTEM,PA,13.0,0.0,412,0.0216,15.634871794871795,61100.0,52
PA4110011,GALLITZIN BORO WATER AUTH,PA,3.0,885.0,3130,0.021,15.491563554555682,191100.0,53
IL0310390,CALUMET CITY,IL,4121.0,1226.0,37000,0.0155,15.340597587719298,19613900.0,54
IL0110500,LAMOILLE,IL,38.0,264.0,750,0.06,15.129682997118156,231400.0,55
PA3480024,COMMUNITY UTILITES WESTGATE,PA,8.0,201.0,2668,0.039,15.061290322580644,77800.0,56
PA7500022,NEWPORT BORO WATER AUTH,PA,3.0,889.0,3200,0.0185,14.968692449355432,191900.0,57
PA4340002,MCALISTERVILLE AREA JOINT AUTH,PA,1.0,365.0,850,0.0505,14.785974499089255,77700.0,58
PA2450040,SKYTOP LODGE INC,PA,2.0,34.0,300,0.02545,14.677083333333336,16200.0,59
PA3390078,LCA WASHINGTON TOWNSHIP DIV,PA,2.0,303.0,965,0.038,14.589253187613842,70000.0,60
PA4190014,BENTON MUNICIPAL WATER AUTH,PA,1.0,201.0,1333,0.036,14.541818181818181,44900.0,61
IL0312340,PALATINE,IL,533.0,56.0,70875,0.016,14.526005442999697,2516300.0,62
