pwsid,p_lead_rich,exp_hidden_lead,inv_cost,rank
IL0430800,0.9896017202979613,2315.3754831428064,1241800.0,1
IL0310450,0.9831618332934697,2448.1294254965846,1321600.0,2
ND3700314,0.9738958662945721,75.59952586603431,41200.0,3
KY0920181,0.972370934660292,7.328267155583765,4000.0,4
OH6801612,0.9721411746788755,498.9370723847272,272400.0,5
MI0004860,0.9681421548023036,445.0802160233224,244000.0,6
IL1050650,0.9680690902649149,16.780446567241526,9200.0,7
IL0150250,0.9637214522884925,509.5050892575072,280600.0,8
IL0313300,0.9617651829923972,112.3492231570326,62000.0,9
DE0000597,0.961040276332665,417.18952647926596,230400.0,10
IL1434750,0.96089812624377,501.13272679885443,276800.0,11
KS2001701,0.9608377475982887,47.06875788630208,26000.0,12
PA2640022,0.9604857620790827,4.7051515098719685,2600.0,13
WI4200405,0.9602665995840564,216.38758312469864,119600.0,14
AL0000738,0.9593677078418916,13317.792920206899,7367800.0,15
CA1500209,0.9580970446876117,55.960363601846474,31000.0,16
IL0315350,0.9576984513409459,1072.9093333181374,594600.0,17
IA2421025,0.9570223357178644,3.606296270286741,2000.0,18
IL0990550,0.9562973312764788,473.8687021209453,263000.0,19
MI0004560,0.9560757786507204,26.6601976320046,14800.0,20
AZ0403702,0.9549117525467951,524.6384199254562,291600.0,21
OH0700114,0.9548950086409436,644.8117718825,358400.0,22
ND5200338,0.9546937823365537,6.835291242659526,3800.0,23
MN1170002,0.954670122283664,50.364055696449476,28000.0,24
IL0110300,0.9537245392582345,7.547125655200931,4200.0,25
PA6270008,0.9516939881327254,13.627627419662241,7600.0,26
NC0161010,0.9508890988643552,444.3149053639451,248000.0,27
IL0310360,0.9495010460787126,145.62273574996377,81400.0,28
IA4150014,0.9489675056000136,12.873397259433608,7200.0,29
IL1610250,0.9489491794952745,1453.5930354251252,813000.0,30
WI1280103,0.9480478516334492,16.43339972064366,9200.0,31
AL0000490,0.9480082288184803,2596.368638413196,1453600.0,32
PA6620020,0.9479769744450314,1785.0338953686203,999400.0,33
ND4200626,0.94749969178095,45.701281261796645,25600.0,34
WV3304513,0.9468619200083538,3697.1712544748675,2072400.0,35
IN5248004,0.9457558072973202,89.80879853246049,50400.0,36
PA3060078,0.9456553227701894,446.5018589079055,250600.0,37
WI4690403,0.9452616701525509,197.68984454185423,111000.0,38
VA1169650,0.9450199442676925,111.81754456233027,62800.0,39
IL0312550,0.9425535021463158,99.44967580094732,56000.0,40
WI7290120,0.9424832748964614,26.991472216299965,15200.0,41
PA4440010,0.9424057603872428,3285.5863462056086,1850400.0,42
NY2602380,0.9420867857894906,31.95013890033789,18000.0,43
KY0500305,0.9420263190506053,45.792259779173115,25800.0,44
OH1201203,0.941959073400455,40.81964308817871,23000.0,45
MI0003420,0.940720075838007,235.37905811713347,132800.0,46
MI0004490,0.9405946731322977,189.6250139844375,107000.0,47
NJ0122001,0.9401636536734569,270.66752081821636,152800.0,48
NH2011010,0.9399970670830031,182.77446825862347,103200.0,49
MI0003550,0.9399387375877243,52.77462376116695,29800.0,50
IL0312760,0.939638420472365,258.8317043222889,146200.0,51
MO2010105,0.9394450634284447,541.2752920034379,305800.0,52
TN0000061,0.938899579655893,249.42937043069682,141000.0,53
IL1970300,0.9388009034971392,7.075266836450612,4000.0,54
NC0136034,0.9386448336308264,96.20763239023887,54400.0,55
KY0480178,0.938356963940933,584.1406819434897,330400.0,56
OH6001711,0.9383144288752926,153.45373136345907,86800.0,57
IL0315570,0.9381421484289654,199.7360352632032,113000.0,58
VA1077240,0.9378400718332037,17.670063837332435,10000.0,59
ND3900333,0.9370623557363625,42.01987748196224,23800.0,60
MO5010032,0.9369560580178987,96.38760727905104,54600.0,61
SC0410003,0.9369301987941286,490.39813723744135,277800.0,62
NC0392010,0.9360487775207931,3656.3605444281557,2073200.0,63
IL0313180,0.9359644593409003,19.75089198240805,11200.0,64
IL0312610,0.9358293211214085,605.489020456836,343400.0,65
KY0710378,0.9358259358553462,786.0396880796501,445800.0,66
MN1230006,0.9357897252043869,150.9250645763893,85600.0,67
MN1690022,0.9355985486747153,2018.0340672328664,1144800.0,68
WI6060226,0.935495008858915,65.56827344419138,37200.0,69
MI0006930,0.9354361843174552,106.10112521977062,60200.0,70
MN1800004,0.9352247326914601,41.58505878725605,23600.0,71
IL0310240,0.9348840053630707,1657.8643066109125,941200.0,72
IN5266005,0.934694392591968,364.5434639527612,207000.0,73
ND1200748,0.9346415354714891,63.04308209073018,35800.0,74
ND4800152,0.9343597763619909,165.83430312399437,94200.0,75
IL2010450,0.9342519086800009,804.7843988391352,457200.0,76
